N,E,RL,Section No,pointno
2646876.39,715638.83,5.22,3,P558
2646878.21,715640.24,5.27,3,P559
2646880.03,715641.66,5.36,3,P560
2646881.85,715643.07,5.44,3,P561
2646883.7,715644.5,5.53,3,P562
2646885.51,715645.96,5.61,3,P563
2646887.31,715647.46,5.66,3,P564
2646889.1,715649.01,5.7,3,P565
2646890.89,715650.62,5.74,3,P566
2646892.68,715652.28,5.77,3,P567
2646894.5,715653.94,5.8,3,P568
2646896.36,715655.61,5.85,3,P569
2646898.26,715657.29,5.9,3,P570
2646900.2,715658.92,5.92,3,P571
2646902.16,715660.51,5.94,3,P572
2646904.12,715662.02,5.95,3,P573
2646906,715663.43,5.94,3,P574
2646907.8,715664.74,5.97,3,P575
2646909.49,715665.92,6.02,3,P576
2646911.1,715666.97,6.03,3,P577
2646912.61,715667.87,6.05,3,P578
2646914,715668.66,6.06,3,P579
2646915.3,715669.32,6.08,3,P580
2646916.49,715669.89,6.08,3,P581
2646924.76,715665.53,7.37,4,P582
2646924.3,715664.88,7.34,4,P583
2646923.73,715664.19,7.31,4,P584
2646923.07,715663.45,7.28,4,P585
2646922.32,715662.69,7.25,4,P586
2646921.48,715661.92,7.22,4,P587
2646920.56,715661.11,7.21,4,P588
2646919.56,715660.28,7.19,4,P589
2646918.48,715659.4,7.19,4,P590
2646917.34,715658.49,7.21,4,P591
2646916.13,715657.53,7.26,4,P592
2646914.88,715656.55,7.37,4,P593
2646913.6,715655.55,7.41,4,P594
2646912.28,715654.54,7.42,4,P595
2646910.93,715653.5,7.43,4,P596
2646909.55,715652.4,7.42,4,P597
2646908.12,715651.27,7.39,4,P598
2646906.66,715650.1,7.32,4,P599
2646905.16,715648.9,7.24,4,P600
2646903.65,715647.69,7.13,4,P601
2646902.12,715646.47,7.03,4,P602
2646900.57,715645.22,6.92,4,P603
2646899.01,715643.94,6.76,4,P604
2646897.44,715642.64,6.69,4,P605
2646895.9,715641.35,6.64,4,P606
2646894.38,715640.1,6.57,4,P607
2646892.9,715638.89,6.53,4,P608
2646891.45,715637.71,6.49,4,P609
2646890.01,715636.57,6.47,4,P610
2646888.6,715635.45,6.46,4,P611
2646887.2,715634.36,6.46,4,P612
2646885.8,715633.3,6.41,4,P613
2646884.42,715632.27,6.35,4,P614
2646883.05,715631.27,6.27,4,P615
2646881.69,715630.31,6.2,4,P616
2646880.38,715629.38,6.14,4,P617
2646879.08,715628.49,6.1,4,P618
2646877.8,715627.61,6.07,4,P619
2646876.52,715626.72,6.06,4,P620
2646875.24,715625.85,6.1,4,P621
2646873.96,715624.98,6.15,4,P622
2646872.69,715624.13,6.22,4,P623
2646871.43,715623.29,6.31,4,P624
2646870.19,715622.48,6.41,4,P625
2646868.97,715621.69,6.52,4,P626
2646867.77,715620.91,6.62,4,P627
2646866.58,715620.15,6.72,4,P628
2646865.4,715619.39,6.81,4,P629
2646864.23,715618.61,6.9,4,P630
2646863.06,715617.83,6.98,4,P631
2646861.9,715617.04,7.02,4,P632
2646860.75,715616.26,7.06,4,P633
2646859.62,715615.48,7.09,4,P634
2646858.5,715614.7,7.11,4,P635
2646857.38,715613.91,7.13,4,P636
2646856.28,715613.11,7.15,4,P637
2646855.19,715612.32,7.18,4,P638
2646854.11,715611.53,7.21,4,P639
2646853.04,715610.73,7.26,4,P640
2646851.97,715609.94,7.32,4,P641
2646850.91,715609.14,7.39,4,P642
2646849.85,715608.35,7.47,4,P643
2646848.79,715607.56,7.61,4,P644
2646847.73,715606.77,7.74,4,P645
2646846.69,715605.98,7.88,4,P646
2646845.64,715605.19,8.02,4,P647
2646844.59,715604.4,8.16,4,P648
2646843.55,715603.62,8.31,4,P649
2646842.5,715602.85,8.46,4,P650
2646841.44,715602.08,8.61,4,P651
2646840.38,715601.31,8.75,4,P652
2646839.32,715600.56,8.89,4,P653
2646838.28,715599.81,9.01,4,P654
2646837.24,715599.08,9.08,4,P655
2646836.23,715598.36,9.15,4,P656
2646835.19,715597.66,9.21,4,P657
2646834.17,715596.99,9.28,4,P658
2646833.12,715596.34,9.35,4,P659
2646832.13,715595.7,9.4,4,P660
2646831.16,715595.11,9.44,4,P661
2646830.23,715594.54,9.36,4,P662
2646829.33,715594,9.19,4,P663
2646828.45,715593.47,8.99,4,P664
2646827.62,715592.95,8.72,4,P665
2646826.83,715592.43,8.42,4,P666
2646826.07,715591.91,8.11,4,P667
2646825.35,715591.38,7.76,4,P668
2646824.67,715590.86,7.29,4,P669
2646824.07,715590.35,6.81,4,P670
2646823.58,715589.88,6.35,4,P671
2646823.18,715589.41,5.8,4,P672
2646822.81,715588.91,5.32,4,P673
2646822.47,715588.41,4.93,4,P674
2646822.16,715587.89,4.58,4,P675
2646821.88,715587.38,4.27,4,P676
2646821.68,715586.89,3.99,4,P677
2646821.54,715586.45,3.78,4,P678
2646821.42,715586.02,3.58,4,P679
2646821.34,715585.58,3.48,4,P680
2646821.38,715585.23,3.36,4,P681
2646821.46,715584.97,3.18,4,P682
2646827.6,715584.11,7.22,5,P683
2646828.32,715584.14,7.7,5,P684
2646829.06,715584.19,7.93,5,P685
2646829.81,715584.19,8.15,5,P686
2646830.58,715584.23,8.34,5,P687
2646831.37,715584.26,8.5,5,P688
2646832.19,715584.34,8.64,5,P689
2646833.01,715584.46,8.95,5,P690
2646833.84,715584.66,9.26,5,P691
2646834.69,715584.89,9.55,5,P692
2646835.54,715585.19,9.7,5,P693
2646836.41,715585.59,9.84,5,P694
2646837.31,715586.12,9.93,5,P695
2646838.22,715586.82,9.98,5,P696
2646839.17,715587.62,10.03,5,P697
2646840.11,715588.49,10.06,5,P698
2646841.08,715589.38,10.05,5,P699
2646842.05,715590.28,10.01,5,P700
2646843.1,715591.21,9.92,5,P701
2646844.16,715592.15,9.79,5,P702
2646845.23,715593.11,9.64,5,P703
2646846.28,715594.08,9.48,5,P704
2646847.38,715595.07,9.32,5,P705
2646848.51,715596.09,9.17,5,P706
2646849.69,715597.11,8.99,5,P707
2646850.9,715598.16,8.79,5,P708
2646852.14,715599.22,8.58,5,P709
2646853.45,715600.33,8.39,5,P710
2646854.84,715601.48,8.22,5,P711
2646856.31,715602.67,8.09,5,P712
2646857.86,715603.91,7.99,5,P713
2646859.5,715605.17,7.93,5,P714
2646861.19,715606.42,7.88,5,P715
2646862.94,715607.65,7.82,5,P716
2646864.74,715608.85,7.74,5,P717
2646866.6,715610.09,7.67,5,P718
2646868.5,715611.29,7.59,5,P719
2646870.44,715612.47,7.5,5,P720
2646872.43,715613.66,7.42,5,P721
2646874.47,715614.83,7.36,5,P722
2646876.51,715616.03,7.32,5,P723
2646878.54,715617.22,7.3,5,P724
2646880.56,715618.46,7.27,5,P725
2646882.54,715619.74,7.21,5,P726
2646884.52,715621.07,7.15,5,P727
2646886.51,715622.43,7.11,5,P728
2646888.5,715623.84,7.08,5,P729
2646890.49,715625.27,7.09,5,P730
2646892.46,715626.71,7.11,5,P731
2646894.42,715628.17,7.17,5,P732
2646896.36,715629.64,7.22,5,P733
2646898.31,715631.12,7.23,5,P734
2646900.27,715632.63,7.22,5,P735
2646902.26,715634.11,7.24,5,P736
2646904.26,715635.61,7.34,5,P737
2646906.27,715637.12,7.52,5,P738
2646908.27,715638.62,7.69,5,P739
2646910.27,715640.13,7.88,5,P740
2646912.26,715641.66,8.02,5,P741
2646914.27,715643.22,8.14,5,P742
2646916.27,715644.8,8.2,5,P743
2646918.24,715646.35,8.27,5,P744
2646920.16,715647.83,8.38,5,P745
2646922.02,715649.23,8.52,5,P746
2646923.81,715650.54,8.69,5,P747
2646941.45,715653.8,9.66,6,P748
2646941.13,715653.41,9.68,6,P749
2646940.81,715652.98,9.71,6,P750
2646940.35,715652.56,9.73,6,P751
2646939.87,715652.08,9.75,6,P752
2646939.32,715651.53,9.76,6,P753
2646938.67,715650.89,9.74,6,P754
2646937.99,715650.19,9.72,6,P755
2646937.21,715649.38,9.69,6,P756
2646936.31,715648.47,9.66,6,P757
2646935.32,715647.48,9.64,6,P758
2646934.22,715646.39,9.61,6,P759
2646932.99,715645.23,9.56,6,P760
2646931.7,715644.05,9.48,6,P761
2646930.34,715642.87,9.36,6,P762
2646928.91,715641.66,9.23,6,P763
2646927.42,715640.43,9.09,6,P764
2646925.87,715639.14,8.97,6,P765
2646924.27,715637.82,8.88,6,P766
2646922.63,715636.45,8.79,6,P767
2646920.95,715635.04,8.69,6,P768
2646919.23,715633.6,8.57,6,P769
2646917.49,715632.13,8.44,6,P770
2646915.72,715630.62,8.34,6,P771
2646913.91,715629.07,8.26,6,P772
2646912.07,715627.49,8.17,6,P773
2646910.18,715625.89,8.08,6,P774
2646908.28,715624.27,8.03,6,P775
2646906.3,715622.67,7.99,6,P776
2646904.29,715621.09,7.94,6,P777
2646902.25,715619.58,7.89,6,P778
2646900.27,715618.19,7.83,6,P779
2646898.33,715616.87,7.79,6,P780
2646896.41,715615.6,7.75,6,P781
2646894.54,715614.38,7.74,6,P782
2646892.71,715613.17,7.77,6,P783
2646890.9,715611.95,7.86,6,P784
2646889.13,715610.76,7.95,6,P785
2646887.41,715609.58,8.04,6,P786
2646885.71,715608.45,8.11,6,P787
2646884.06,715607.33,8.18,6,P788
2646882.44,715606.23,8.25,6,P789
2646880.84,715605.16,8.34,6,P790
2646879.27,715604.12,8.42,6,P791
2646877.73,715603.09,8.49,6,P792
2646876.21,715602.1,8.53,6,P793
2646874.71,715601.11,8.54,6,P794
2646873.26,715600.14,8.55,6,P795
2646871.84,715599.2,8.56,6,P796
2646870.43,715598.29,8.59,6,P797
2646869.07,715597.35,8.63,6,P798
2646867.72,715596.45,8.67,6,P799
2646866.41,715595.55,8.72,6,P800
2646865.14,715594.66,8.8,6,P801
2646863.91,715593.8,8.92,6,P802
2646862.69,715592.94,9.05,6,P803
2646861.51,715592.09,9.2,6,P804
2646860.34,715591.25,9.35,6,P805
2646859.21,715590.41,9.51,6,P806
2646858.09,715589.57,9.67,6,P807
2646857,715588.75,9.83,6,P808
2646855.93,715587.95,9.99,6,P809
2646854.89,715587.14,10.15,6,P810
2646853.87,715586.32,10.32,6,P811
2646852.86,715585.51,10.46,6,P812
2646851.87,715584.71,10.55,6,P813
2646850.91,715583.9,10.64,6,P814
2646849.99,715583.11,10.7,6,P815
2646849.07,715582.34,10.74,6,P816
2646848.16,715581.57,10.75,6,P817
2646847.28,715580.83,10.73,6,P818
2646846.42,715580.11,10.69,6,P819
2646844.86,715578.72,10.63,6,P820
2646844.15,715578.03,10.5,6,P821
2646843.49,715577.37,10.4,6,P822
2646842.85,715576.7,10.24,6,P823
2646842.25,715576.03,10.06,6,P824
2646841.7,715575.36,9.79,6,P825
2646841.2,715574.69,9.47,6,P826
2646840.74,715574.03,9.1,6,P827
2646840.33,715573.36,8.67,6,P828
2646839.93,715572.67,8.18,6,P829
2646839.58,715571.97,7.98,6,P830
2646839.26,715571.32,7.74,6,P831
2646838.99,715570.69,7.51,6,P832
2646838.72,715570.07,7.19,6,P833
2646838.47,715569.49,6.86,6,P834
2646838.43,715564.27,2.82,7,P835
2646838.67,715564.42,3.05,7,P836
2646838.9,715564.62,3.14,7,P837
2646839.14,715564.85,3.21,7,P838
2646839.42,715565.11,3.27,7,P839
2646839.72,715565.44,3.38,7,P840
2646840.07,715565.83,3.5,7,P841
2646840.37,715566.24,3.85,7,P842
2646840.64,715566.6,4.18,7,P843
2646840.92,715566.99,4.53,7,P844
2646841.17,715567.33,4.87,7,P845
2646841.48,715567.61,5.25,7,P846
2646841.81,715567.83,5.61,7,P847
2646842.18,715568.02,5.99,7,P848
2646842.62,715568.15,6.41,7,P849
2646843.14,715568.24,6.83,7,P850
2646843.75,715568.25,7.26,7,P851
2646844.4,715568.24,7.66,7,P852
2646845.06,715568.26,8.03,7,P853
2646845.73,715568.26,8.41,7,P854
2646846.42,715568.25,8.72,7,P855
2646847.18,715568.29,9.04,7,P856
2646847.98,715568.36,9.44,7,P857
2646848.84,715568.47,9.81,7,P858
2646849.76,715568.63,10.2,7,P859
2646850.74,715568.85,10.53,7,P860
2646851.75,715569.18,10.83,7,P861
2646852.8,715569.55,11.06,7,P862
2646853.84,715570.02,11.28,7,P863
2646854.95,715570.63,11.39,7,P864
2646856.1,715571.41,11.46,7,P865
2646857.26,715572.38,11.49,7,P866
2646858.44,715573.54,11.49,7,P867
2646859.63,715574.86,11.33,7,P868
2646860.82,715576.32,11.16,7,P869
2646862.04,715577.86,10.94,7,P870
2646863.25,715579.37,10.72,7,P871
2646864.46,715580.81,10.51,7,P872
2646865.7,715582.17,10.31,7,P873
2646866.96,715583.44,10.11,7,P874
2646868.3,715584.64,9.92,7,P875
2646869.67,715585.81,9.75,7,P876
2646871.07,715586.94,9.63,7,P877
2646874.07,715589.21,9.54,7,P878
2646875.66,715590.37,9.47,7,P879
2646877.28,715591.54,9.44,7,P880
2646878.95,715592.75,9.4,7,P881
2646880.63,715593.99,9.36,7,P882
2646882.33,715595.24,9.31,7,P883
2646884.06,715596.55,9.25,7,P884
2646885.81,715597.88,9.18,7,P885
2646887.58,715599.24,9.09,7,P886
2646889.37,715600.62,9,7,P887
2646891.19,715602.01,8.9,7,P888
2646893.04,715603.37,8.81,7,P889
2646894.87,715604.68,8.79,7,P890
2646896.7,715606.02,8.73,7,P891
2646898.52,715607.36,8.67,7,P892
2646900.37,715608.71,8.66,7,P893
2646902.21,715610.08,8.67,7,P894
2646904.04,715611.52,8.68,7,P895
2646905.85,715612.99,8.73,7,P896
2646907.64,715614.5,8.83,7,P897
2646909.44,715616.05,8.93,7,P898
2646911.24,715617.63,9.06,7,P899
2646913.06,715619.21,9.13,7,P900
2646914.91,715620.81,9.15,7,P901
2646916.78,715622.4,9.27,7,P902
2646918.7,715624.01,9.43,7,P903
2646920.67,715625.61,9.51,7,P904
2646922.7,715627.18,9.59,7,P905
2646924.77,715628.7,9.72,7,P906
2646926.89,715630.18,9.8,7,P907
2646929.02,715631.62,9.9,7,P908
2646931.18,715633.05,9.99,7,P909
2646933.35,715634.47,10.03,7,P910
2646935.55,715635.86,10.13,7,P911
2646937.77,715637.23,10.22,7,P912
2646940,715638.6,10.24,7,P913
2646942.22,715639.99,10.22,7,P914
2646944.44,715641.38,10.27,7,P915
2646946.65,715642.74,10.34,7,P916
2646952.71,715632.44,10.62,8,P917
2646950.81,715631.08,10.63,8,P918
2646948.85,715629.76,10.7,8,P919
2646946.87,715628.41,10.74,8,P920
2646944.74,715627.05,10.76,8,P921
2646942.53,715625.67,10.76,8,P922
2646940.25,715624.26,10.78,8,P923
2646937.96,715622.84,10.8,8,P924
2646935.69,715621.39,10.8,8,P925
2646933.44,715619.87,10.77,8,P926
2646931.19,715618.26,10.7,8,P927
2646928.93,715616.59,10.61,8,P928
2646926.71,715614.91,10.54,8,P929
2646924.54,715613.25,10.42,8,P930
2646922.42,715611.63,10.3,8,P931
2646920.36,715610,10.2,8,P932
2646918.34,715608.35,10.1,8,P933
2646916.36,715606.72,10.01,8,P934
2646914.4,715605.12,9.97,8,P935
2646912.47,715603.58,10.03,8,P936
2646910.57,715602.08,10.08,8,P937
2646908.67,715600.64,10.14,8,P938
2646906.79,715599.24,10.21,8,P939
2646904.92,715597.92,10.22,8,P940
2646903.1,715596.65,10.23,8,P941
2646901.28,715595.45,10.26,8,P942
2646899.48,715594.27,10.29,8,P943
2646897.7,715593.14,10.32,8,P944
2646895.94,715592.04,10.34,8,P945
2646894.23,715590.99,10.31,8,P946
2646892.55,715589.96,10.21,8,P947
2646890.89,715588.94,10.15,8,P948
2646889.26,715587.94,10.12,8,P949
2646887.66,715586.96,10.11,8,P950
2646886.12,715585.98,10.13,8,P951
2646884.64,715585.03,10.16,8,P952
2646883.22,715584.09,10.2,8,P953
2646881.83,715583.12,10.23,8,P954
2646880.47,715582.15,10.3,8,P955
2646879.15,715581.19,10.37,8,P956
2646877.88,715580.22,10.45,8,P957
2646876.64,715579.24,10.54,8,P958
2646875.45,715578.28,10.64,8,P959
2646874.28,715577.33,10.75,8,P960
2646873.15,715576.38,10.86,8,P961
2646872.05,715575.45,10.98,8,P962
2646870.97,715574.51,11.11,8,P963
2646869.94,715573.57,11.24,8,P964
2646868.92,715572.64,11.37,8,P965
2646867.94,715571.71,11.46,8,P966
2646866.97,715570.79,11.54,8,P967
2646866.04,715569.87,11.63,8,P968
2646865.12,715568.96,11.71,8,P969
2646864.21,715568.05,11.77,8,P970
2646863.34,715567.15,11.8,8,P971
2646862.49,715566.26,11.8,8,P972
2646861.66,715565.39,11.75,8,P973
2646860.87,715564.55,11.66,8,P974
2646860.14,715563.77,11.55,8,P975
2646859.44,715563.01,11.41,8,P976
2646858.79,715562.31,11.27,8,P977
2646858.2,715561.66,11.11,8,P978
2646857.67,715561.02,10.85,8,P979
2646857.16,715560.43,10.49,8,P980
2646856.7,715559.85,10.05,8,P981
2646856.28,715559.28,9.61,8,P982
2646855.9,715558.7,9.42,8,P983
2646855.6,715558.14,9.24,8,P984
2646855.15,715557.05,9.04,8,P985
2646854.96,715556.44,8.8,8,P986
2646854.77,715555.83,8.54,8,P987
2646858.32,715549.4,5.03,9,P988
2646858.83,715549.37,5.59,9,P989
2646859.36,715549.37,5.89,9,P990
2646859.94,715549.36,6.18,9,P991
2646860.56,715549.42,6.48,9,P992
2646861.23,715549.55,6.82,9,P993
2646861.89,715549.67,7.08,9,P994
2646862.54,715549.8,7.62,9,P995
2646863.18,715549.94,8.15,9,P996
2646863.86,715550.06,8.58,9,P997
2646864.6,715550.2,9.07,9,P998
2646865.46,715550.4,9.5,9,P999
2646866.41,715550.62,9.92,9,P1000
2646867.41,715550.86,10.35,9,P1001
2646868.42,715551.18,10.75,9,P1002
2646869.46,715551.56,11.09,9,P1003
2646870.51,715552.03,11.33,9,P1004
2646871.51,715552.58,11.59,9,P1005
2646872.47,715553.2,11.81,9,P1006
2646873.4,715553.92,12.02,9,P1007
2646874.25,715554.84,12.2,9,P1008
2646875,715555.94,12.32,9,P1009
2646875.65,715557.27,12.44,9,P1010
2646876.21,715558.83,12.48,9,P1011
2646876.72,715560.45,12.49,9,P1012
2646877.22,715562.06,12.49,9,P1013
2646877.72,715563.57,12.5,9,P1014
2646878.25,715564.97,12.52,9,P1015
2646878.85,715566.25,12.52,9,P1016
2646879.47,715567.42,12.52,9,P1017
2646880.1,715568.42,12.52,9,P1018
2646880.76,715569.31,12.49,9,P1019
2646881.44,715570.1,12.46,9,P1020
2646882.09,715570.83,12.43,9,P1021
2646882.79,715571.51,12.39,9,P1022
2646883.49,715572.23,12.35,9,P1023
2646884.27,715572.94,12.28,9,P1024
2646885.1,715573.71,12.21,9,P1025
2646885.98,715574.45,12.13,9,P1026
2646886.92,715575.24,12.05,9,P1027
2646887.95,715576.07,12,9,P1028
2646889.07,715576.91,11.94,9,P1029
2646890.28,715577.79,11.93,9,P1030
2646891.6,715578.74,11.91,9,P1031
2646893.03,715579.77,11.91,9,P1032
2646894.55,715580.84,11.92,9,P1033
2646896.18,715581.98,11.95,9,P1034
2646897.9,715583.19,11.97,9,P1035
2646899.67,715584.41,11.96,9,P1036
2646901.5,715585.65,11.92,9,P1037
2646903.39,715586.93,11.89,9,P1038
2646905.35,715588.26,11.85,9,P1039
2646907.39,715589.58,11.81,9,P1040
2646909.46,715590.88,11.75,9,P1041
2646911.52,715592.2,11.72,9,P1042
2646913.58,715593.53,11.67,9,P1043
2646915.64,715594.89,11.62,9,P1044
2646917.73,715596.3,11.53,9,P1045
2646919.79,715597.81,11.45,9,P1046
2646921.83,715599.35,11.4,9,P1047
2646923.86,715600.98,11.37,9,P1048
2646927.94,715604.51,11.32,9,P1049
2646930.01,715606.33,11.28,9,P1050
2646932.08,715608.18,11.25,9,P1051
2646934.19,715610.03,11.24,9,P1052
2646938.58,715613.72,11.21,9,P1053
2646936.36,715611.88,11.19,9,P1054
2646940.87,715615.53,11.17,9,P1055
2646943.2,715617.31,11.14,9,P1056
2646945.5,715618.98,11.12,9,P1057
2646947.74,715620.54,11.1,9,P1058
2646949.88,715621.97,11.12,9,P1059
2646960.14,715617.07,10.74,10,P1060
2646959.78,715616.1,10.83,10,P1061
2646959.3,715615.14,10.87,10,P1062
2646958.72,715614.17,10.89,10,P1063
2646958.01,715613.17,10.92,10,P1064
2646957.16,715612.17,10.94,10,P1065
2646956.19,715611.17,10.98,10,P1066
2646955.1,715610.18,11.07,10,P1067
2646953.92,715609.2,11.15,10,P1068
2646952.64,715608.22,11.27,10,P1069
2646951.3,715607.23,11.39,10,P1070
2646949.9,715606.19,11.47,10,P1071
2646948.44,715605.1,11.57,10,P1072
2646946.93,715603.97,11.69,10,P1073
2646945.36,715602.8,11.85,10,P1074
2646943.74,715601.59,11.98,10,P1075
2646942.08,715600.36,12.13,10,P1076
2646940.38,715599.12,12.27,10,P1077
2646938.65,715597.88,12.44,10,P1078
2646936.87,715596.64,12.6,10,P1079
2646935.06,715595.38,12.73,10,P1080
2646933.21,715594.1,12.86,10,P1081
2646931.32,715592.81,13,10,P1082
2646927.53,715590.29,13.16,10,P1083
2646929.42,715591.54,13.27,10,P1084
2646925.62,715589.07,13.33,10,P1085
2646923.67,715587.86,13.42,10,P1086
2646921.7,715586.68,13.47,10,P1087
2646919.74,715585.55,13.5,10,P1088
2646917.81,715584.44,13.49,10,P1089
2646915.88,715583.34,13.48,10,P1090
2646913.98,715582.24,13.46,10,P1091
2646912.12,715581.17,13.42,10,P1092
2646910.34,715580.16,13.35,10,P1093
2646908.65,715579.2,13.26,10,P1094
2646907.05,715578.26,13.18,10,P1095
2646905.51,715577.34,13.12,10,P1096
2646904.03,715576.4,13.05,10,P1097
2646902.6,715575.47,12.99,10,P1098
2646901.24,715574.56,12.94,10,P1099
2646899.95,715573.65,12.91,10,P1100
2646898.71,715572.72,12.89,10,P1101
